config_id,ejecucion,seed,costo,factible,tiempo,iteracion_mejor,convergencia_final,tam_poblacion,w,c1,c2,p_f,bha_ratio,h,l,t,b,g1_tau,g2_sigma,g3_h_vs_b,g4_diseno,g5_h_min,g6_deflexion,g7_pandeo
2,3,1203,1.9918889828538702,True,0.6604945659637451,199,1.9918889828538702,50,0.4,1.2,1.8,0.3,0.6,0.2709385938574047,2.8587840865832197,7.741834728372583,0.2802989623874525,-6.862683221697807e-08,-6.065238267183304e-07,-0.009360368530047791,-3.217967843606974,-0.1459385938574047,-0.23312200256805374,-7638.658624506388
2,4,1204,1.9141267999391474,True,0.6620757579803467,199,1.9141267999391474,50,0.4,1.2,1.8,0.3,0.6,0.22778746355082527,3.382216039216784,8.166892196513116,0.25188140746710513,-17.317827762253728,-0.03284587305461173,-0.024093943916279864,-3.2613666784746727,-0.10278746355082527,-0.2340004593595064,-4279.84524022874
2,5,1205,2.392823705601083,True,0.67507004737854,199,2.392823705601083,50,0.4,1.2,1.8,0.3,0.6,0.3631849665493415,2.36980508217257,6.461935933606642,0.4023315056071448,-0.01067534860703745,-0.003907816437276779,-0.0391465390578033,-2.9197614523184137,-0.23818496654934151,-0.22977902427562058,-29221.838532440182
2,6,1206,1.9770892771129018,True,0.641899585723877,199,1.9770892771129018,50,0.4,1.2,1.8,0.3,0.6,0.21208854472407832,3.7729985018012417,8.026917716247524,0.2607425099925305,-0.018281227125044097,-0.012589952519192593,-0.0486539652684522,-3.1926260466761827,-0.08708854472407832,-0.23372144620768406,-5265.5092063185075
2,7,1207,2.38402545877633,True,0.6546034812927246,199,2.38402545877633,50,0.4,1.2,1.8,0.3,0.6,0.2463619197864446,3.754146193486183,6.729677342636189,0.3709550928574375,-0.09945893661461014,-0.03735309788680752,-0.12459317307099291,-2.843829424305022,-0.12136191978644459,-0.2305835410346749,-22485.317322812323
2,8,1208,2.4484235813145485,True,0.6405210494995117,199,2.4484235813145485,50,0.4,1.2,1.8,0.3,0.6,0.4107150267296981,2.080416413363642,6.3069488247401395,0.4223483551981174,-0.02002209303645941,-0.009647515093092807,-0.011633328468419302,-2.9025152751547383,-0.2857150267296981,-0.22928211750604105,-33980.42194250928
2,9,1209,2.392921214665676,True,0.6439807415008545,199,2.392921214665676,50,0.4,1.2,1.8,0.3,0.6,0.3766189208272867,2.2672039251159775,6.452455761046103,0.4035145772828584,-0.0001148726514657028,-0.0012523537297965959,-0.02689565645557168,-2.928663097169614,-0.2516189208272867,-0.22974931312186384,-29492.953033404025
3,0,1300,1.846388357357986,True,0.6859550476074219,199,1.846388357357986,50,0.4,1.2,1.8,0.45,0.2,0.23990830085350956,3.083860695903164,8.366972082819995,0.2399801753851625,-0.028116437928474625,-0.1882022859317658,-7.187453165294344e-05,-3.3311063067084183,-0.11490830085350956,-0.23438313817139986,-3041.3939277520985
3,1,1301,1.789034824083835,True,0.6768546104431152,199,1.789034824083835,50,0.4,1.2,1.8,0.45,0.2,0.17122599985508746,4.406606996288486,9.036622067858927,0.2057297268210341,-0.0001260377775906818,-0.0004581038738251664,-0.03450372696594664,-3.3401595914157722,-0.04622599985508746,-0.235540319857337,-0.006810691142163705
3,2,1302,2.6744490155961227,True,0.6864211559295654,199,2.6744490155961227,50,0.4,1.2,1.8,0.45,0.2,0.49595613628834695,1.7777574770667708,5.8193160925843,0.49609576546912,-0.7254465538717341,-0.009245579640264623,-0.00013962918077303765,-2.762830416093354,-0.37095613628834695,-0.22754605106198947,-54785.33100241747
